batsman,total_runs,out,numberofballs,average,strikerate
MM Sharma,123.00,14.00,117.00,8.785714286,105
AB McDonald,123.00,5.00,99.00,24.6,124
UT Yadav,122.00,12.00,124.00,10.16666667,98
Niraj Patel,121.00,5.00,118.00,24.2,103
DL Vettori,121.00,7.00,109.00,17.28571429,111
AC Blizzard,120.00,7.00,89.00,17.14285714,135
RJ Harris,117.00,12.00,111.00,9.75,105
Misbah-ul-Haq,117.00,9.00,81.00,13,144
Z Khan,117.00,15.00,138.00,7.8,85
D Short,116.00,7.00,99.00,16.57142857,117
KK Cooper,116.00,9.00,68.00,12.88888889,171
TG Southee,115.00,6.00,90.00,19.16666667,128
R Tewatia,115.00,7.00,89.00,16.42857143,129
M Kartik,113.00,7.00,108.00,16.14285714,105
DJ Harris,111.00,3.00,101.00,37,110
HV Patel,107.00,8.00,68.00,13.375,157
JDP Oram,106.00,8.00,108.00,13.25,98
LJ Wright,106.00,4.00,60.00,26.5,177
Rashid Khan,105.00,12.00,63.00,8.75,167
RJ Quiney,103.00,7.00,102.00,14.71428571,101
DS Kulkarni,101.00,9.00,106.00,11.22222222,95
MS Gony,99.00,9.00,70.00,11,141
SD Chitnis,99.00,7.00,89.00,14.14285714,111
MJ Clarke,98.00,5.00,94.00,19.6,104
CJ Ferguson,98.00,6.00,116.00,16.33333333,84
MA Starc,96.00,6.00,98.00,16,98
S Curran,95.00,4.00,55.00,23.75,173
AJ Tye,92.00,7.00,70.00,13.14285714,131
PR Shah,92.00,8.00,91.00,11.5,101
DJ Jacobs,92.00,7.00,97.00,13.14285714,95
S Rana,91.00,5.00,81.00,18.2,112
RT Ponting,91.00,8.00,127.00,11.375,72
AD Nath,90.00,10.00,98.00,9,92
S Hetmyer,90.00,5.00,73.00,18,123
MJ McClenaghan,88.00,11.00,70.00,8,126
Iqbal Abdulla,88.00,1.00,83.00,88,106
SL Malinga,88.00,12.00,99.00,7.333333333,89
AP Majumdar,87.00,4.00,76.00,21.75,114
J Archer,84.00,7.00,61.00,12,138
RE Levi,83.00,6.00,73.00,13.83333333,114
LA Carseldine,81.00,3.00,68.00,27,119
WPUJC Vaas,81.00,7.00,73.00,11.57142857,111
Shahid Afridi,81.00,8.00,46.00,10.125,176
AD Mascarenhas,79.00,10.00,78.00,7.9,101
PJ Cummins,77.00,6.00,55.00,12.83333333,140
S Rutherford,77.00,5.00,53.00,15.4,145
B Akhil,76.00,7.00,55.00,10.85714286,138
IR Jaggi,76.00,5.00,97.00,15.2,78
TR Birt,75.00,5.00,58.00,15,129
Washington Sundar,75.00,6.00,50.00,12.5,150
M Klinger,73.00,4.00,77.00,18.25,95
RR Sarwan,73.00,3.00,75.00,24.33333333,97
L Livingstone,71.00,3.00,47.00,23.66666667,151
DL Chahar,71.00,6.00,44.00,11.83333333,161
K Rabada,70.00,6.00,78.00,11.66666667,90
AA Bilakhia,69.00,5.00,85.00,13.8,81
H Klaasen,67.00,5.00,57.00,13.4,118
RR Powar,67.00,3.00,63.00,22.33333333,106
R Singh,66.00,6.00,65.00,11,102
R Sharma,66.00,11.00,75.00,6,88
